Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,43.5,44.099998474121094,43.25,43.5,43.5,12283581
2020-01-02,43.75,45.849998474121094,43.5,45.400001525878906,45.400001525878906,24677041
2020-01-03,45.400001525878906,45.650001525878906,44.29999923706055,44.599998474121094,44.599998474121094,10859861
2020-01-06,44.25,44.400001525878906,42.400001525878906,42.650001525878906,42.650001525878906,12626606
2020-01-07,43.099998474121094,44.0,42.70000076293945,43.400001525878906,43.400001525878906,13321218
2020-01-08,42.5,43.349998474121094,42.5,43.20000076293945,43.20000076293945,11199141
2020-01-09,44.0,45.099998474121094,43.599998474121094,44.900001525878906,44.900001525878906,16119627
2020-01-10,45.099998474121094,45.5,44.400001525878906,44.75,44.75,10521165
2020-01-13,45.0,46.54999923706055,44.75,46.04999923706055,46.04999923706055,17317084
2020-01-14,46.400001525878906,46.650001525878906,45.400001525878906,45.95000076293945,45.95000076293945,11899391
2020-01-15,45.849998474121094,47.0,45.45000076293945,46.849998474121094,46.849998474121094,10739845
2020-01-16,47.45000076293945,47.75,46.400001525878906,46.54999923706055,46.54999923706055,14205313
2020-01-17,46.599998474121094,47.099998474121094,46.04999923706055,46.20000076293945,46.20000076293945,8424298
2020-01-20,46.29999923706055,46.54999923706055,44.70000076293945,44.95000076293945,44.95000076293945,12234865
2020-01-21,45.0,45.45000076293945,43.20000076293945,43.400001525878906,43.400001525878906,24323645
2020-01-22,43.650001525878906,43.79999923706055,43.04999923706055,43.45000076293945,43.45000076293945,16583634
2020-01-23,43.45000076293945,44.0,43.29999923706055,43.45000076293945,43.45000076293945,14871754
2020-01-24,43.5,45.20000076293945,43.400001525878906,45.0,45.0,27348156
2020-01-27,44.70000076293945,44.95000076293945,43.79999923706055,43.95000076293945,43.95000076293945,13164355
2020-01-28,43.95000076293945,44.45000076293945,43.04999923706055,43.29999923706055,43.29999923706055,11310748
2020-01-29,43.70000076293945,45.099998474121094,43.599998474121094,44.54999923706055,44.54999923706055,15586751
2020-01-30,44.650001525878906,44.650001525878906,43.20000076293945,44.04999923706055,44.04999923706055,14992301
2020-01-31,44.45000076293945,44.599998474121094,42.04999923706055,42.75,42.75,14087306
2020-02-03,39.900001525878906,40.54999923706055,38.79999923706055,39.45000076293945,39.45000076293945,20417630
2020-02-04,39.79999923706055,40.20000076293945,39.349998474121094,39.95000076293945,39.95000076293945,13225776
2020-02-05,40.0,40.5,39.25,39.599998474121094,39.599998474121094,23954561
2020-02-06,39.95000076293945,40.20000076293945,39.45000076293945,39.54999923706055,39.54999923706055,16156110
2020-02-07,39.75,40.29999923706055,39.20000076293945,39.79999923706055,39.79999923706055,16682125
2020-02-10,39.75,39.79999923706055,37.900001525878906,38.25,38.25,21400298
2020-02-11,38.599998474121094,39.099998474121094,38.25,38.54999923706055,38.54999923706055,20338186
2020-02-12,37.79999923706055,38.20000076293945,35.79999923706055,36.349998474121094,36.349998474121094,51223154
2020-02-13,36.849998474121094,37.349998474121094,36.25,37.04999923706055,37.04999923706055,20159277
2020-02-14,37.20000076293945,37.400001525878906,36.0,36.20000076293945,36.20000076293945,20464164
2020-02-17,36.20000076293945,36.400001525878906,34.75,34.849998474121094,34.849998474121094,21604096
2020-02-18,34.29999923706055,34.900001525878906,33.400001525878906,34.70000076293945,34.70000076293945,34528421
2020-02-19,34.70000076293945,35.599998474121094,34.20000076293945,35.400001525878906,35.400001525878906,18802594
2020-02-20,35.400001525878906,35.900001525878906,34.900001525878906,35.099998474121094,35.099998474121094,15578115
2020-02-24,34.29999923706055,34.75,33.70000076293945,33.900001525878906,33.900001525878906,13344620
2020-02-25,33.75,34.5,33.650001525878906,33.900001525878906,33.900001525878906,13587843
2020-02-26,33.599998474121094,33.95000076293945,33.099998474121094,33.25,33.25,13462112
2020-02-27,33.25,33.349998474121094,32.04999923706055,32.599998474121094,32.599998474121094,18665991
2020-02-28,31.700000762939453,31.700000762939453,30.299999237060547,30.600000381469727,30.600000381469727,21837210
2020-03-02,31.100000381469727,31.700000762939453,29.049999237060547,29.549999237060547,29.549999237060547,23026620
2020-03-03,30.0,31.350000381469727,29.850000381469727,31.0,31.0,20595361
2020-03-04,31.100000381469727,31.200000762939453,29.850000381469727,30.649999618530273,30.649999618530273,18105957
2020-03-05,30.899999618530273,31.399999618530273,29.950000762939453,30.700000762939453,30.700000762939453,20609801
