Date,Open,High,Low,Close,Adj Close,Volume
2020-02-19,250.0,255.5,249.89999389648438,254.0,251.98814392089844,2101729
2020-02-20,253.1999969482422,261.0,252.64999389648438,258.6499938964844,256.601318359375,3108173
2020-02-24,254.8000030517578,255.85000610351562,244.10000610351562,247.25,245.29159545898438,3309214
2020-02-25,249.8000030517578,251.75,242.39999389648438,246.4499969482422,244.49794006347656,3309962
2020-02-26,244.0,246.3000030517578,241.0,242.8000030517578,240.87686157226562,2897390
2020-02-27,241.4499969482422,241.4499969482422,232.0500030517578,234.14999389648438,232.2953643798828,3568055
2020-02-28,221.0,226.8000030517578,217.0,218.64999389648438,216.9181365966797,3364181
2020-03-02,223.0,226.6999969482422,216.14999389648438,218.60000610351562,216.86854553222656,3162614
2020-03-03,221.0,228.64999389648438,219.25,225.75,223.96189880371094,2992170
2020-03-04,226.10000610351562,227.0,213.5500030517578,221.10000610351562,219.34873962402344,5216787
2020-03-05,223.75,226.85000610351562,219.35000610351562,221.75,219.99359130859375,3159080
2020-03-06,215.10000610351562,216.75,207.5,214.75,213.0490264892578,4375226
2020-03-09,207.0,208.5,197.25,199.6999969482422,198.1182403564453,2763988
2020-03-11,197.39999389648438,205.0,192.25,195.75,194.19952392578125,3763186
2020-03-12,180.10000610351562,183.89999389648438,160.4499969482422,162.14999389648438,160.86566162109375,4834390
2020-03-13,145.9499969482422,161.35000610351562,129.75,148.75,147.57179260253906,7463176
2020-03-16,141.0,142.3000030517578,128.64999389648438,134.6999969482422,133.63307189941406,6582749
2020-03-17,135.6999969482422,142.5500030517578,130.5,133.39999389648438,132.3433837890625,6388061
2020-03-18,135.89999389648438,137.0,127.0999984741211,130.1999969482422,129.16873168945312,4255688
2020-03-19,121.0,132.9499969482422,118.19999694824219,128.89999389648438,127.87901306152344,5517080
2020-03-20,138.0,141.60000610351562,128.6999969482422,137.6999969482422,136.60931396484375,4496351
2020-03-23,123.05000305175781,135.0,118.19999694824219,120.9000015258789,120.8198013305664,1456143
2020-03-24,125.0,132.9499969482422,116.4000015258789,130.35000610351562,130.26353454589844,5125923
2020-03-25,126.0,134.89999389648438,125.0,132.3000030517578,132.21224975585938,2771318
2020-03-26,135.0,152.0,132.0500030517578,140.25,140.15696716308594,7980255
2020-03-27,146.0,151.0,126.25,128.0,127.91509246826172,4378366
2020-03-30,124.0,129.8000030517578,121.0,128.6999969482422,128.6146240234375,2397592
2020-03-31,131.6999969482422,138.4499969482422,129.4499969482422,137.60000610351562,137.50872802734375,2200227
2020-04-01,138.9499969482422,138.9499969482422,131.8000030517578,133.9499969482422,133.86114501953125,1997603
2020-04-03,134.0,134.60000610351562,128.0,129.0500030517578,128.9644012451172,1761897
2020-04-07,131.0,141.5,131.0,138.14999389648438,138.058349609375,2463474
2020-04-08,136.85000610351562,147.14999389648438,134.89999389648438,138.10000610351562,138.00839233398438,3237290
2020-04-09,140.0,146.25,140.0,142.4499969482422,142.35549926757812,2359428
2020-04-13,142.0,149.0,136.5500030517578,146.0,145.9031524658203,2204560
2020-04-15,148.0500030517578,150.9499969482422,143.1999969482422,145.25,145.15365600585938,3413325
2020-04-16,142.0,144.85000610351562,140.5500030517578,143.3000030517578,143.20494079589844,2685695
2020-04-17,146.9499969482422,148.5500030517578,141.5500030517578,143.89999389648438,143.80453491210938,2383979
2020-04-20,146.0,155.4499969482422,142.60000610351562,146.6999969482422,146.60269165039062,6835058
2020-04-21,143.0,143.0,134.14999389648438,135.9499969482422,135.8598175048828,3576177
2020-04-22,136.0,138.8000030517578,132.10000610351562,137.60000610351562,137.50872802734375,6012030
2020-04-23,140.5,142.5,137.5,140.5,140.40679931640625,3371195
2020-04-24,137.14999389648438,140.5500030517578,134.10000610351562,134.64999389648438,134.5606689453125,1823167
2020-04-27,136.39999389648438,138.35000610351562,134.10000610351562,134.60000610351562,134.51072692871094,2996533
2020-04-28,135.9499969482422,141.89999389648438,135.0500030517578,139.3000030517578,139.2075958251953,5721109
2020-04-29,140.0,140.6999969482422,135.64999389648438,139.5,139.407470703125,4774187
2020-04-30,141.4499969482422,147.4499969482422,140.3000030517578,141.39999389648438,141.3061981201172,4899422
2020-05-04,136.89999389648438,137.5,130.0,131.5500030517578,131.46273803710938,6012691
2020-05-05,135.0,136.35000610351562,131.8000030517578,132.6999969482422,132.61196899414062,3112486
2020-05-06,133.64999389648438,135.39999389648438,127.30000305175781,133.25,133.16160583496094,6685480
2020-05-07,131.10000610351562,135.64999389648438,130.0,134.89999389648438,134.81051635742188,2423478
2020-05-08,136.89999389648438,139.35000610351562,136.1999969482422,137.14999389648438,137.05902099609375,2431204
2020-05-11,137.85000610351562,143.3000030517578,137.5,140.0500030517578,139.9571075439453,2900696
2020-05-12,138.5,140.6999969482422,133.1999969482422,139.89999389648438,139.80718994140625,2901801
2020-05-13,145.0,145.0,140.75,141.14999389648438,141.05636596679688,3115038
2020-05-14,139.5500030517578,142.35000610351562,137.39999389648438,140.89999389648438,140.80653381347656,1587450
2020-05-15,141.39999389648438,143.6999969482422,140.0,141.0500030517578,140.95643615722656,2145697
2020-05-18,144.8000030517578,146.39999389648438,134.35000610351562,135.89999389648438,135.80984497070312,4941536
2020-05-19,137.8000030517578,145.89999389648438,134.4499969482422,139.6999969482422,139.60733032226562,5564024
2020-05-20,139.5,143.1999969482422,138.0,141.35000610351562,141.25624084472656,2872608
2020-05-21,142.1999969482422,144.0,137.0500030517578,138.3000030517578,138.20826721191406,2682428
2020-05-22,138.0,141.1999969482422,136.60000610351562,138.10000610351562,138.00839233398438,2449109
2020-05-26,139.0,143.3000030517578,138.35000610351562,139.5,139.407470703125,2657870
2020-05-27,139.75,141.60000610351562,138.5,141.0,140.90646362304688,2224751
2020-05-28,141.6999969482422,144.39999389648438,140.60000610351562,142.64999389648438,142.5553741455078,2816689
2020-05-29,141.10000610351562,153.60000610351562,141.10000610351562,148.35000610351562,148.25160217285156,9162612
2020-06-01,150.0,154.89999389648438,149.5,150.5,150.40016174316406,3985102
2020-06-02,151.0,152.60000610351562,148.25,149.9499969482422,149.85052490234375,2482873
2020-06-03,151.75,157.89999389648438,149.60000610351562,150.64999389648438,150.55006408691406,5875845
2020-06-04,150.5,153.89999389648438,146.14999389648438,148.0,147.90182495117188,3146640
2020-06-05,148.89999389648438,155.0,148.4499969482422,152.4499969482422,152.348876953125,4111095
2020-06-08,155.60000610351562,158.5,150.64999389648438,152.64999389648438,152.54873657226562,4899754
2020-06-09,154.1999969482422,156.6999969482422,151.0500030517578,151.89999389648438,151.7992401123047,3005643
2020-06-10,152.75,154.75,150.25,151.85000610351562,151.74928283691406,4135121
2020-06-11,151.85000610351562,165.4499969482422,150.25,151.8000030517578,151.69931030273438,16533100
2020-06-12,144.0,153.3000030517578,141.0,152.3000030517578,152.198974609375,4817295
2020-06-15,151.8000030517578,156.85000610351562,148.25,149.25,149.1510009765625,3214496
2020-06-16,153.5,154.0,142.75,146.1999969482422,146.10301208496094,2640377
2020-06-17,145.0,148.4499969482422,143.4499969482422,147.14999389648438,147.05238342285156,1252809
2020-06-18,146.6999969482422,149.4499969482422,146.0,147.85000610351562,147.75193786621094,2037814
2020-06-19,149.60000610351562,154.39999389648438,148.89999389648438,152.6999969482422,152.5987091064453,5245179
2020-06-22,154.5,156.1999969482422,153.60000610351562,154.64999389648438,154.5474090576172,4662143
2020-06-23,157.0,161.8000030517578,155.5500030517578,157.1999969482422,157.09571838378906,4790074
2020-06-24,159.10000610351562,163.0,153.5,154.8000030517578,154.6973114013672,4078195
2020-06-25,153.25,169.1999969482422,153.0,161.64999389648438,161.5427703857422,14608370
2020-06-26,164.0,166.35000610351562,161.3000030517578,162.14999389648438,162.0424346923828,6772909
2020-06-29,161.39999389648438,163.5500030517578,156.75,159.75,159.64402770996094,2937549
2020-06-30,161.39999389648438,164.14999389648438,155.25,156.25,156.14634704589844,3827240
2020-07-01,157.14999389648438,159.0,156.0500030517578,157.64999389648438,157.54542541503906,1681231
2020-07-02,159.8000030517578,160.9499969482422,156.14999389648438,158.1999969482422,158.09506225585938,2152710
2020-07-03,160.0,163.85000610351562,157.39999389648438,160.0,159.89385986328125,4481657
2020-07-06,161.9499969482422,165.1999969482422,160.5,164.1999969482422,164.09107971191406,3515662
2020-07-07,164.5,170.64999389648438,163.3000030517578,168.14999389648438,168.0384521484375,8172143
2020-07-08,168.0,169.5,161.39999389648438,163.0,162.89187622070312,3650115
2020-07-09,163.0,165.10000610351562,161.4499969482422,162.75,162.6420440673828,1711099
2020-07-10,161.5,163.39999389648438,158.5,159.6999969482422,159.59405517578125,1950837
2020-07-13,161.4499969482422,162.4499969482422,154.35000610351562,156.0500030517578,155.9464874267578,2585981
2020-07-14,155.89999389648438,156.25,149.0,149.75,149.65066528320312,2352010
